2023.01.22 15:31:22 INFO  web[][DbMigrations] #3404 'Populate 'uuid' and 'createdAt columns for notifications'...
2023.01.22 15:31:22 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3404 'Populate 'uuid' and 'createdAt columns for notifications': success | time=10ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3405 'Make 'uuid' and 'createdAt' column not nullable for notifications'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3405 'Make 'uuid' and 'createdAt' column not nullable for notifications': success | time=11ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3406 'Drop primary key on 'ID' column of 'NOTIFICATIONS' table'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3406 'Drop primary key on 'ID' column of 'NOTIFICATIONS' table': success | time=9ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3407 'Add primary key on 'UUID' column of 'NOTIFICATIONS' table'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3407 'Add primary key on 'UUID' column of 'NOTIFICATIONS' table': success | time=3ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3408 'Drop column 'ID' of 'NOTIFICATIONS' table'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3408 'Drop column 'ID' of 'NOTIFICATIONS' table': success | time=7ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3409 'Drop primary key on 'ID' column of 'SNAPSHOTS' table'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3409 'Drop primary key on 'ID' column of 'SNAPSHOTS' table': success | time=11ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3410 'Add primary key on 'UUID' column of 'SNAPSHOTS' table'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3410 'Add primary key on 'UUID' column of 'SNAPSHOTS' table': success | time=4ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3411 'Drop column 'ID' of 'SNAPSHOTS' table'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3411 'Drop column 'ID' of 'SNAPSHOTS' table': success | time=8ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3412 'Drop unique index on 'uuid' column of 'CE_QUEUE' table'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3412 'Drop unique index on 'uuid' column of 'CE_QUEUE' table': success | time=8ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3413 'Drop primary key on 'ID' column of 'CE_QUEUE' table'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3413 'Drop primary key on 'ID' column of 'CE_QUEUE' table': success | time=10ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3414 'Add primary key on 'UUID' column of 'CE_QUEUE' table'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3414 'Add primary key on 'UUID' column of 'CE_QUEUE' table': success | time=4ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3415 'Drop column 'ID' of 'CE_QUEUE' table'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3415 'Drop column 'ID' of 'CE_QUEUE' table': success | time=6ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3416 'Drop primary key on 'ID' column of 'CE_ACTIVITY' table'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3416 'Drop primary key on 'ID' column of 'CE_ACTIVITY' table': success | time=22ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3417 'Add primary key on 'UUID' column of 'CE_ACTIVITY' table'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3417 'Add primary key on 'UUID' column of 'CE_ACTIVITY' table': success | time=5ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3418 'Drop column 'ID' of 'CE_ACTIVITY' table'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3418 'Drop column 'ID' of 'CE_ACTIVITY' table': success | time=20ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3419 'Add 'uuid' columns for DUPLICATIONS_INDEX'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3419 'Add 'uuid' columns for DUPLICATIONS_INDEX': success | time=16ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3420 'Populate 'uuid' columns for DUPLICATIONS_INDEX'...
2023.01.22 15:31:22 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3420 'Populate 'uuid' columns for DUPLICATIONS_INDEX': success | time=18ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3421 'Make 'uuid' column not nullable for DUPLICATIONS_INDEX'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3421 'Make 'uuid' column not nullable for DUPLICATIONS_INDEX': success | time=16ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3422 'Drop primary key on 'ID' column of 'DUPLICATIONS_INDEX' table'...
2023.01.22 15:31:23 INFO  web[][DbMigrations] #3422 'Drop primary key on 'ID' column of 'DUPLICATIONS_INDEX' table': success | time=25ms
2023.01.22 15:31:23 INFO  web[][DbMigrations] #3423 'Add primary key on 'UUID' column of 'DUPLICATIONS_INDEX' table'...
2023.01.22 15:31:23 INFO  web[][DbMigrations] #3423 'Add primary key on 'UUID' column of 'DUPLICATIONS_INDEX' table': success | time=36ms
2023.01.22 15:31:23 INFO  web[][DbMigrations] #3424 'Drop column 'ID' of 'DUPLICATIONS_INDEX' table'...
2023.01.22 15:31:23 INFO  web[][DbMigrations] #3424 'Drop column 'ID' of 'DUPLICATIONS_INDEX' table': success | time=25ms
2023.01.22 15:31:23 INFO  web[][DbMigrations] #3425 'Add 'uuid' column for 'ACTIVE_RULE_PARAMS' table'...
2023.01.22 15:31:23 INFO  web[][DbMigrations] #3425 'Add 'uuid' column for 'ACTIVE_RULE_PARAMS' table': success | time=17ms
2023.01.22 15:31:23 INFO  web[][DbMigrations] #3426 'Populate 'uuid' column for 'ACTIVE_RULE_PARAMS' table'...
2023.01.22 15:31:23 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2023.01.22 15:31:23 INFO  web[][DbMigrations] #3426 'Populate 'uuid' column for 'ACTIVE_RULE_PARAMS' table': success | time=18ms
2023.01.22 15:31:23 INFO  web[][DbMigrations] #3427 'Make 'uuid' column not nullable for 'ACTIVE_RULE_PARAMS' table'...
2023.01.22 15:31:23 INFO  web[][DbMigrations] #3427 'Make 'uuid' column not nullable for 'ACTIVE_RULE_PARAMS' table': success | time=14ms
2023.01.22 15:31:23 INFO  web[][DbMigrations] #3428 'Drop primary key on 'ID' column of 'ACTIVE_RULE_PARAMS' table'...
2023.01.22 15:31:23 INFO  web[][DbMigrations] #3428 'Drop primary key on 'ID' column of 'ACTIVE_RULE_PARAMS' table': success | time=12ms
2023.01.22 15:31:23 INFO  web[][DbMigrations] #3429 'Add primary key on 'UUID' column of 'ACTIVE_RULE_PARAMS' table'...
2023.01.22 15:31:23 INFO  web[][DbMigrations] #3429 'Add primary key on 'UUID' column of 'ACTIVE_RULE_PARAMS' table': success | time=6ms
2023.01.22 15:31:23 INFO  web[][DbMigrations] #3430 'Drop column 'ID' of 'ACTIVE_RULE_PARAMS' table'...
2023.01.22 15:31:23 INFO  web[][DbMigrations] #3430 'Drop column 'ID' of 'ACTIVE_RULE_PARAMS' table': success | time=11ms
2023.01.22 15:31:23 INFO  web[][DbMigrations] #3431 'Add 'uuid' columns for 'PROJECT_MEASURES''...
2023.01.22 15:31:23 INFO  web[][DbMigrations] #3431 'Add 'uuid' columns for 'PROJECT_MEASURES'': success | time=10ms
2023.01.22 15:31:23 INFO  web[][DbMigrations] #3432 'Add tech index on 'group_uuid' column of 'PROJECT_MEASURES' table'...
2023.01.22 15:31:23 INFO  web[][DbMigrations] #3432 'Add tech index on 'group_uuid' column of 'PROJECT_MEASURES' table': success | time=14ms
2023.01.22 15:31:23 INFO  web[][DbMigrations] #3433 'Populate 'uuid' column for 'PROJECT_MEASURES''...
2023.01.22 15:31:23 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2023.01.22 15:31:23 INFO  web[][DbMigrations] #3433 'Populate 'uuid' column for 'PROJECT_MEASURES'': success | time=16ms
2023.01.22 15:31:23 INFO  web[][DbMigrations] #3434 'Drop tech index on 'group_id' column of 'PROJECT_MEASURES' table'...
2023.01.22 15:31:23 INFO  web[][DbMigrations] #3434 'Drop tech index on 'group_id' column of 'PROJECT_MEASURES' table': success | time=9ms
2023.01.22 15:31:23 INFO  web[][DbMigrations] #3435 'Make 'uuid' column not nullable for 'PROJECT_MEASURES''...
2023.01.22 15:31:23 INFO  web[][DbMigrations] #3435 'Make 'uuid' column not nullable for 'PROJECT_MEASURES'': success | time=10ms
2023.01.22 15:31:23 INFO  web[][DbMigrations] #3436 'Drop primary key on 'ID' column of 'PROJECT_MEASURES' table'...
2023.01.22 15:31:23 INFO  web[][DbMigrations] #3436 'Drop primary key on 'ID' column of 'PROJECT_MEASURES' table': success | time=12ms
2023.01.22 15:31:23 INFO  web[][DbMigrations] #3437 'Add primary key on 'UUID' column of 'PROJECT_MEASURES' table'...
